disclosing	showing
discontinuance	dropping
discontinuances	stops
discontinuation	dropping
discontinuations	stop
discontinue	stop
discontinued	dropped
discontinues	drops
discontinuing	dropping
disengage	free
disengaged	freed
disengages	frees
disengaging	freeing
disentangle	free
disentangled	freed
disentangles	frees
disentangling	freeing
dispatch	send
dispatched	sent
dispatches	sends
dispatching	sending
dispel	rid
dispelled	rid
dispels	rids
disseminate	give
dissimilar	different
divulge	tell
divulged	told
divulges	tells
divulging	telling
domicile	home
domiciles	homes
donate	give
dormant	asleep
duplicate	copy
duplicated	copied
duplicates	copies
duplicating	copying
duration	time
edifice	building
edifices	buildings
educator	teacher
educator's	teacher's
educators	teachers
effected	made
effecting	making
egotistical	cocky
elapse	pass
elect	choose
elected	picked
electing	choosing
elects	chooses
elevate	raise
elevated	rose
elevates	raises
elevating	raising
eliminate	cut
eliminated	cut
eliminates	cuts
eliminating	cutting
elongate	stretch
elongated	stretched
elongates	stretches
elongating	stretching
emancipate	free
emancipated	freed
emancipates	frees
emancipating	freeing
eminent	high
eminently	highly
employment	work
employments	uses
encounter	meet
encountered	met
encountering	meeting
encounters	meets
endeavor	try
endeavored	tried
endeavoring	trying
endeavors	tries
enigmatic	puzzling
enjoin	order
enjoined	ordered
enjoining	ordering
enjoins	orders
enjoyable	fun
enmity	hate
enormous	large
enumerate	count
enumerated	counted
enumerates	counts
enumerating	counting
enumeration	count
enumerations	counts
epistle	letter
epistles	letters
equable	even
equably	evenly
equine	horse
equine's	horse's
equines	horses
equitable	fair
equitably	fairly
erroneous	wrong
erroneously	wrongly
erudite	learned
establish	prove
established	proved
establishes	proves
establishing	proving
evidenced	showed
evidences	shows
evidencing	showing
evident	clear
evidently	clearly
evince	show
exceedingly	very
execute	kill
executed	killed
executes	kills
executing	killing
execution	killing
exhibit	show
exhibiting	showing
exhibition	show
exhibition's	show's
exhibitions	shows
exhibits	shows
exigency	need
exorbitant	large
expedite	hurry
expedited	hurried
expedites	hurries
expediting	hurrying
expeditious	fast
expeditiously	quickly
expend	spend
expended	spent
expending	spending
expends	spends
expense	cost
expenses	costs
expiration	end
explain	show
explained	showed
explaining	showing
explains	shows
explicit	clear
explicitly	clearly
expunge	clear
expunged	cleared
expunges	clears
expunging	clearing
exterior	outside
exterminate	kill
exterminated	killed
exterminates	kills
exterminating	killing
extermination	killing
extricate	free
extricated	freed
extricates	frees
extricating	freeing
fabricate	build
fabricated	built
fabricates	builds
fabricating	building
facilitate	help
facilitates	helps
facilitating	helping
facilitation	help
fallacies	lies
fallacy	lie
familiar	known
famished	hungry
fatuous	silly
fetch	get
fetched	got
fetches	gets
fetching	getting
figurine	doll
figurine's	doll's
figurines	dolls
final	last
finalisation	finish
finalisations	finishes
finalise	finish
finalised	finished
finalises	finishes
finalising	finishing
finalization	finish
finalizations	finishes
finalize	finish
finalized	finished
finalizes	finishes
finalizing	finishing
firmament	sky
firstly	first
fluctuations	waves
forfeit	lose
forfeited	lost
forfeiting	losing
forfeits	loses
formulate	plan
formulated	planned
formulates	plans
formulating	planning
frequently	often
frivolous	silly
function	act
functions	acts
furnish	give
furnished	gave
furnishes	gives
furnishing	giving
gargantuan	giant
generate	make
generated	made
generates	makes
generating	making
genuine	real
genuinely	really
gigantic	huge
gloomy	sad
glutinous	sticky
grandiose	large
gratified	pleased
gratifies	pleases
gratify	please
gratifying	pleasing
habitation	house
habitations	houses
hence	so
